counter,start,storeDLT,storeKfrags,finish
0,2435,3235,110,80,116
1,2391,5887,110,66,126
14,5403,3993,111,68,113
19,3504,5985,115,68,111
18,3379,8073,149,80,108
3,4606,3263,110,68,111
8,6836,5769,111,65,113
6,6000,7782,111,58,104
5,4880,9482,119,72,105
10,4211,11512,112,66,110
16,8864,2960,113,65,109
2,11897,5544,120,64,112
13,2612,6938,111,63,104
4,2423,4077,112,72,112
7,4015,3973,133,67,104
11,2409,4970,113,64,106
12,3558,4065,109,69,124
9,2436,4001,113,60,116
17,3101,3937,126,65,105
15,2438,2742,120,66,103
