counter,start,storeDLT,storeKfrags,finish
0,2536,4751,111,63,109
1,2436,7145,111,84,122
6,5854,6374,154,63,105
2,8289,6368,114,64,142
12,4726,9605,112,66,110
9,5142,8407,115,69,114
16,8697,7899,111,74,104
3,7523,8335,121,65,104
7,7390,10588,110,70,107
11,7243,14707,110,67,111
4,5965,16589,112,69,120
18,6090,20746,120,72,117
5,6185,23603,108,86,120
10,8074,22259,119,59,125
13,8340,26282,123,69,105
8,23049,9415,109,72,116
15,7827,6355,176,61,113
14,3992,6827,131,70,105
17,2503,4556,114,85,108
19,2493,5355,115,65,107
